url_aviso,barrio,precio_detalle,estado_scraping
https://www.fincaraiz.com.co/apartamento-en-venta-en-villavicencio-pereira/193805674,"Corocito, Risaralda",$ 450.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192974780,"Cerritos, Risaralda",$ 719.625.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193225693,"Sector plaza de bolivar, Risaralda",$ 530.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/192621107,"Sector lago uribe, Risaralda",$ 450.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192945575,"Cambulos, Risaralda",$ 850.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193758413,"Galicia, Risaralda",$ 280.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193644188,"Morelia, Risaralda",$ 300.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/192783485,,,error_http_404
https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193312388,"Olaya herrera, Risaralda",$ 800.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193733025,"Morelia, Risaralda",$ 5.000.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/192157177,"Cerritos, Risaralda",$ 630.000.000,ok
https://www.fincaraiz.com.co/bodega-en-venta-en-corocito-pereira/193309930,"Los rosales, Risaralda",$ 500.000.000,ok
https://www.fincaraiz.com.co/local-en-venta-en-centro-pereira/193481343,"Sector plaza de bolivar, Risaralda",$ 1.050.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/192549378,"Altos de canaan, Risaralda",$ 495.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-los-angeles-pereira/192101513,"La florida boston, Risaralda",$ 1.155.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193318333,"Cerritos, Risaralda",$ 245.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193484240,"Cerritos, Risaralda",$ 3.400.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/194121848,"Cerritos, Risaralda",$ 2.000.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193304259,"Galicia, Risaralda",$ 400.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-cuba-pereira/192462669,"San jose sur, Risaralda",$ 330.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/191312978,"Cerritos, Risaralda",$ 1.800.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-maraya-pereira/192993096,"Sector 30 de agosto ii etapa, Risaralda",$ 420.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193908227,"Batara, Risaralda",$ 320.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/192848595,"Tribunas corcega, Risaralda",$ 1.500.000.000,ok
https://www.fincaraiz.com.co/local-en-venta-en-pereira/193841414,"Olaya herrera, Risaralda",$ 1.176.840.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-pereira/191278102,"Conjunto residencial tisu, Risaralda",$ 750.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-villa-verde-pereira/193888647,"Villa verde, Risaralda",$ 420.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193173969,"Cerritos, Risaralda",$ 1.300.000.000,ok
https://www.fincaraiz.com.co/finca-en-venta-en-combia-pereira/192752261,"Combia, Risaralda",$ 45.000.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/193841551,"Cerritos, Risaralda",$ 6.800.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-pueblito-cafetero-pereira/194004849,"Morelia, Risaralda",$ 1.100.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-30-de-agosto-pereira/193244146,"Avenida 30 de agosto, Risaralda",$ 430.000.000,ok
https://www.fincaraiz.com.co/casa-lote-en-venta-en-sector-galeria-central-pereira/193408982,"Sector galeria central, Risaralda",$ 900.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193194757,"Malaga, Risaralda",$ 140.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/194078390,"Ciudadela pereira, Risaralda",$ 290.000.000,ok
https://www.fincaraiz.com.co/finca-en-venta-en-combia-pereira/192322122,"Combia baja, Risaralda",$ 990.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-corocito-pereira/193203778,"Corocito, Risaralda",$ 500.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-30-de-agosto-pereira/193499796,"Avenida 30 de agosto, Risaralda",$ 550.000.000,ok
https://www.fincaraiz.com.co/finca-en-venta-en-morelia-pereira/192196885,,,error_http_404
https://www.fincaraiz.com.co/casa-en-venta-en-maraya-pereira/192706977,"Maraya, Risaralda",$ 800.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-sur-pereira/193886340,"Los corales, Risaralda",$ 380.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-pereira/192320584,"Arabia, Risaralda",$ 380.000.000,ok
https://www.fincaraiz.com.co/finca-en-venta-en-combia-pereira/191786175,"Combia, Risaralda",$ 1.300.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-villa-verde-pereira/193580518,"Multifamiliares villa verde, Risaralda",$ 240.000.000,ok
