precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso,pagina
$ 340.000.000,"Casa en Pereira, Risaralda","Casa en venta en galicia, pereira",3 Habs.,3 Baños,73 m²,https://www.fincaraiz.com.co/casa-en-venta-en-galicia-pereira/193995593,63
$ 640.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,2 Baños,100 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/192414706,63
$ 1.950.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",3 Habs.,2 Baños,3000 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/194246204,63
$ 610.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,110 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193068681,63
$ 530.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centenario, pereira",3 Habs.,3 Baños,141 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centenario-pereira/193184430,63
$ 1.200.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",3 Habs.,4 Baños,415 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193693451,63
$ 1.350.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,3 Baños,170 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193841769,63
$ 165.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,1 Baño,46 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193302472,63
$ 2.000.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",5 Habs.,4 Baños,500 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193172196,63
$ 550.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",2300 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/192320514,63
$ 320.000.000,"Lote en Pereira, Risaralda","Lote en venta en condina, pereira",1936 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-condina-pereira/193310422,64
$ 200.000.000,"Lote en Pereira, Risaralda","Lote en venta en morelia, pereira",1200 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-morelia-pereira/192947577,64
$ 420.000.000,"Casa en Pereira, Risaralda","Casa en venta en belmonte a, pereira",3 Habs.,3 Baños,133 m²,https://www.fincaraiz.com.co/casa-en-venta-en-belmonte-a-pereira/192321736,64
$ 700.000.000,"Casa en Pereira, Risaralda","Casa en venta en san jose sur, pereira",4 Habs.,2 Baños,340 m²,https://www.fincaraiz.com.co/casa-en-venta-en-san-jose-sur-pereira/7665619,64
$ 1.200.000.000,"Finca en Pereira, Risaralda","Finca en venta en la florida, dosquebradas",10 Habs.,4 Baños,300 m²,https://www.fincaraiz.com.co/finca-en-venta-en-la-florida-dosquebradas/193313937,64
$ 380.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",2 Habs.,1 Baño,67 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193488096,64
$ 240.000.000,"Apartaestudio en Pereira, Risaralda","Apartaestudio en venta en los alpes, pereira",1 Hab,1 Baño,40 m²,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-los-alpes-pereira/193807209,64
$ 1.200.000.000,"Apartamento en Pereira, Risaralda","Apartamento en  venta en pinares, pereira",4 Habs.,4 Baños,250 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/191226322,64
$ 1.100.000.000,"Lote en Pereira, Risaralda","Lote en  venta en cerritos, pereira",10316 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/191337636,64
$ 370.000.000,"Apartaestudio en Pereira, Risaralda",Apartaestudio en venta en pereira,1 Hab,1 Baño,67 m²,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-pereira/193650021,64
$ 100.000.000,"Lote en Pereira, Risaralda","Lote en venta en la bella, pereira",1 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-la-bella-pereira/193303996,64
$ 585.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",1 Hab,2 Baños,72 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193719745,64
$ 900.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en  venta en combia, pereira",6 Habs.,5 Baños,340 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/191313017,64
$ 445.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en galicia, pereira",2 Habs.,2 Baños,69 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193907511,64
$ 330.000.000,"Lote en Pereira, Risaralda","Lote en venta en morelia, pereira",1500 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-morelia-pereira/192319896,64
$ 1.550.000.000,"Casa en Pereira, Risaralda","Casa en venta en combia, pereira",3 Habs.,2 Baños,183.6 m²,https://www.fincaraiz.com.co/casa-en-venta-en-combia-pereira/193841302,64
$ 1.800.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",4 Habs.,4 Baños,435 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/193289620,64
$ 1.950.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,5 Baños,360 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/192924482,64
$ 1.500.000.000,"Casa en Pereira, Risaralda","Casa en venta en combia baja, pereira",6 Habs.,5 Baños,700 m²,https://www.fincaraiz.com.co/casa-en-venta-en-combia-baja-pereira/193404298,64
$ 345.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en gamma, pereira",2 Habs.,2 Baños,50 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-gamma-pereira/192704298,64
$ 760.000.000,"Apartamento en Pereira, Risaralda","Apartamento en  venta en la julita, pereira",3 Habs.,2 Baños,110 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-julita-pereira/192123411,64
