precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso
$ 920.000.000,"Casa en Pereira, Risaralda","Casa en venta en san jose sur, pereira",3 Habs.,3 Baños,165 m²,https://www.fincaraiz.com.co/casa-en-venta-en-san-jose-sur-pereira/194163248
$ 470.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,3 Habs.,3 Baños,89 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/194243332
$ 238.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en el poblado i etapa, pereira",2 Habs.,1 Baño,44 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-i-etapa-pereira/193198674
$ 440.000.000,"Casa en Pereira, Risaralda","Casa en venta en villa verde, pereira",4 Habs.,2 Baños,86 m²,https://www.fincaraiz.com.co/casa-en-venta-en-villa-verde-pereira/194187676
$ 2.300.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en pueblito cafetero, pereira",4 Habs.,4 Baños,388 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pueblito-cafetero-pereira/193454797
$ 670.000.000,"Casa en Pereira, Risaralda","Casa en venta en la villa, pereira",3 Habs.,3 Baños,135 m²,https://www.fincaraiz.com.co/casa-en-venta-en-la-villa-pereira/194210027
$ 618.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,2 Baños,81 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194007426
$ 265.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en belmonte a, pereira",2 Habs.,2 Baños,106 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-belmonte-a-pereira/193888081
$ 530.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en galicia, pereira",3 Habs.,2 Baños,71 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193933410
$ 2.400.000.000,"Lote en Pereira, Risaralda","Lote en venta en los alamos, pereira",850 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-los-alamos-pereira/194185360
$ 1.100.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,6 Habs.,2 Baños,353 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193309850
$ 1.500.000.000.000,"Edificio en Pereira, Risaralda","Edificio en venta en los corales, pereira",7 Baños,463 m²,,https://www.fincaraiz.com.co/edificio-en-venta-en-los-corales-pereira/192364773
$ 950.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en  venta en quintas de sevilla, pereira",4 Habs.,3 Baños,360 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-quintas-de-sevilla-pereira/191699571
$ 2.600.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,5 Habs.,5 Baños,1614 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/194005661
$ 400.000.000,"Lote en Pereira, Risaralda",Lote en venta en pereira,2056 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-pereira/194192996
$ 11.700.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,3 Baños,1100 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/10301592
$ 419.490.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,0 Hab,40 m²,,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193861009
$ 1.400.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",5 Habs.,4 Baños,280 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192948288
$ 570.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en avenida sur, pereira",3 Habs.,2 Baños,87 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-sur-pereira/193843218
$ 775.000.000,"Casa en Pereira, Risaralda","Casa en venta en pinares, pereira",2 Habs.,3 Baños,105 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pinares-pereira/193928101
$ 1.300.000.000,"Casa en Pereira, Risaralda","Casa en venta en los alpes, pereira",4 Habs.,6 Baños,300 m²,https://www.fincaraiz.com.co/casa-en-venta-en-los-alpes-pereira/193173511
$ 950.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,3 Habs.,3 Baños,342 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/194211225
$ 280.000.000,"Oficina en Pereira, Risaralda","Oficina en venta en pinares, pereira",1 Ambiente,1 Baño,28 m²,https://www.fincaraiz.com.co/oficina-en-venta-en-pinares-pereira/193814544
$ 1.100.000.000,"Casa en Pereira, Risaralda","Casa en venta en centro, pereira",3 Habs.,3 Baños,420 m²,https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/193301597
